?,SysCall ID
0,84
16,232
10,16
0,17
0,62
1,5
0,17
1,17
0,108
0,3
1,73
0,73
0,20
1,9
0,4
0,17
0,80
0,108
0,8
1,21
1,14
0,8
0,1
1,8
0,1
0,8
1,1
1,8
0,1
0,8
0,1
0,8
0,1
0,8
1,1
0,8
100,1
0,8
0,1
1,8
0,1
0,8
1,1
0,8
0,1
0,8
0,1
1,21
1,8
11,1
0,8
0,1
0,8
0,1
0,8
83,5
1,3
0,36
16,1
0,8
1,1
0,8
0,1
0,8
0,1
0,8
1,1
0,8
0,1
2,21
2,8
9,1
0,8
0,1
0,8
0,1
0,8
31,1
0,8
0,1
0,8
0,1
0,8
1,1
0,8
0,1
1,8
0,1
0,8
1,1
0,21
0,8
3,1
0,8
1,1
0,8
0,1
0,8
27,1
0,8
0,1
0,8
0,1
0,8
1,1
0,8
0,1
0,8
0,1
1,8
0,1
2,21
2,8
6,1
0,8
0,1
0,8
0,1
0,8
29,1
0,8
0,1
0,8
0,1
0,8
1,1
0,8
0,1
0,8
1,1
0,8
0,1
2,21
2,8
5,1
0,8
0,1
0,8
0,1
0,8
46,5
1,3
0,36
110,1
0,8
0,1
0,8
0,1
0,8
1,1
1,21
0,3
1,9
0,2
1,4
0,17
0,14
4,5
0,5
1,5
0,5
1,15
0,58
8,15
0,110
2,1
0,8
0,1
0,8
0,1
1,8
1,62
1,187
1,15
2,40
0,110
0,17
1,14
0,14
0,14
0,14
0,14
1,60
28,159
0,219
2,3
1,3
2,3
0,3
55,73
0,6
1,1
5,10
0,10
9,10
12,4
164,11
2,11
1,11
44,17
21,10
12,13
0,13
44,13
10,13
13,13
12,13
14,13
17,13
16,13
36,13
9,13
12,13
8,13
11,13
4,13
9,13
16,13
8,13
9,13
14,13
6,13
11,13
5,13
5,13
31,13
1,13
17,6
0,6
0,6
0,6
4,5
0,5
0,5
0,5
1,90
0,90
1,90
0,5
1,5
1,5
1,5
66,5
2,5
0,5
13,13
5,10
1,12
1,10
0,12
1,10
1,13
6,13
45,13
28,13
26,13
6,13
16,14
0,14
0,40
3,14
0,14
0,14
0,14
0,14
0,14
0,14
0,14
0,14
0,14
0,14
0,14
0,14
0,14
0,14
0,14
0,14
0,14
0,14
0,14
0,14
0,14
0,14
0,14
0,14
0,14
1,14
0,14
0,14
0,14
0,14
0,14
0,14
0,14
0,14
0,14
0,14
0,14
0,14
0,14
0,14
0,14
0,14
0,14
0,14
0,14
0,14
0,14
0,14
0,14
0,14
1,14
0,14
0,14
0,14
0,14
0,14
0,14
0,14
0,14
0,14
0,15
0,14
18,13
2,13
3,5
0,5
1,5
1,5
0,5
0,5
